cod_manzana,score_accesibilidad,score_ambiental,score_socioeconomico,score_seguridad,atlas_score,municipio,moran_i,lisa_q,lisa_p,zona_atlas,quintil
0505120030101100010117,0.16666666666666666,0.7518564574522126,0.0,1.0,0.6443094803280139,Arboletes,0.7436,1,0.005,HH,Q2-Bajo
0514710000000000020219,0.16666666666666666,0.34839348150751004,0.5194387014889503,1.0,0.6895529416444574,Carepa,0.7436,4,0.001,HL,Q3-Medio
0514720010601300010110,0.16666666666666666,0.2840844451714505,0.5684769863832999,1.0,0.6835956462804164,Carepa,0.7436,4,0.001,HL,Q3-Medio
0549010000000000010317,0.26190476190476186,0.4660944777728798,0.6229950338414513,1.0,0.8130214381669951,Necoclí,0.7436,4,0.001,HL,Q5-Óptimo
0549010000000000010824,0.16666666666666666,0.47532213001820056,0.5165555722458574,1.0,0.7379445220904919,Necoclí,0.7436,4,0.001,HL,Q4-Alto
0549020120600100010129,0.16666666666666666,0.3301118147439226,0.6255991889850758,1.0,0.7238354779915166,Necoclí,0.7436,4,0.001,HL,Q4-Alto
0549020090200800010116,0.16666666666666666,0.5838712625293001,0.7002206025152562,1.0,0.8519406200483556,Necoclí,0.7436,4,0.001,HL,Q5-Óptimo
0583720050604200010106,0.16666666666666666,0.22962574420729648,0.7976106735850271,1.0,0.7517383627471892,Turbo,0.7436,4,0.001,HL,Q4-Alto
0565920010300300010124,0.16666666666666666,0.8381891509172866,0.6859007358308196,1.0,0.9455666022098103,San Juan de Urabá,0.7436,4,0.001,HL,Q5-Óptimo
0566510000000000010114,0.19047619047619047,0.3837067484098612,0.5729996647668407,1.0,0.7335121670832538,San Pedro de Urabá,0.7436,4,0.001,HL,Q4-Alto
0566510000000000010214,0.19047619047619047,0.3812794095926689,0.5273634741124575,1.0,0.7147620327238934,San Pedro de Urabá,0.7436,4,0.001,HL,Q3-Medio
0566510000000000010537,0.19047619047619047,0.3824347785260954,0.5663969358847946,1.0,0.7304401567352459,San Pedro de Urabá,0.7436,4,0.001,HL,Q4-Alto
0566510000000000010561,0.19047619047619047,0.38476033102565266,0.7008070234058653,1.0,0.7837822989018163,San Pedro de Urabá,0.7436,4,0.001,HL,Q5-Óptimo
0566520040200800010106,0.16666666666666666,0.5654995344126904,0.6978895260904258,1.0,0.8438642184391656,San Pedro de Urabá,0.7436,4,0.001,HL,Q5-Óptimo
0583720090700100010517,0.16666666666666666,0.04386700781603618,0.5617931248984768,1.0,0.5872766164952049,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0583720090700100010616,0.16666666666666666,0.04768998495312428,0.6513127608010169,1.0,0.6236906409164009,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0583720090700100020418,0.16666666666666666,0.04165887298136928,0.5586786264927927,1.0,0.5852001961927551,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0583720100700200020209,0.16666666666666666,0.15126415089362966,0.6612340973543466,1.0,0.6679665387611704,Turbo,0.7436,4,0.001,HL,Q3-Medio
0583720100700200020417,0.16666666666666666,0.15361221715235635,0.6464368223955289,1.0,0.6631099595968694,Turbo,0.7436,4,0.121,NS,Q3-Medio
0583720090600300010310,0.16666666666666666,0.0,0.0,1.0,0.35100164898119357,Turbo,0.7436,3,0.001,LL,Q1-Crítico
0583720100400800010425,0.16666666666666666,0.1281342220884497,0.0,1.0,0.4009882793141035,Turbo,0.7436,3,0.001,LL,Q1-Crítico
0583720080301000010104,0.16666666666666666,0.06688181244375324,0.5891171646222374,1.0,0.6069143772976723,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0583720080301000010107,0.16666666666666666,0.06643951726426965,0.6420245020465971,1.0,0.6273815922957453,Turbo,0.7436,3,0.001,LL,Q2-Bajo
